Country,Country Code,Indicator Name,2026
Aruba,ABW,Research and development expenditure (% of GDP),
Africa Eastern and Southern,AFE,Research and development expenditure (% of GDP),0.586779084367876
Afghanistan,AFG,Research and development expenditure (% of GDP),
Africa Western and Central,AFW,Research and development expenditure (% of GDP),0.27753675622014
Angola,AGO,Research and development expenditure (% of GDP),0.03229
Albania,ALB,Research and development expenditure (% of GDP),0.19997
Andorra,AND,Research and development expenditure (% of GDP),0.15818
Arab World,ARB,Research and development expenditure (% of GDP),0.677204976660046
United Arab Emirates,ARE,Research and development expenditure (% of GDP),1.49469
Argentina,ARG,Research and development expenditure (% of GDP),0.60111
Armenia,ARM,Research and development expenditure (% of GDP),0.2861
American Samoa,ASM,Research and development expenditure (% of GDP),0.39552
Antigua and Barbuda,ATG,Research and development expenditure (% of GDP),
Australia,AUS,Research and development expenditure (% of GDP),1.85783
Austria,AUT,Research and development expenditure (% of GDP),3.25517
Azerbaijan,AZE,Research and development expenditure (% of GDP),0.20778
Burundi,BDI,Research and development expenditure (% of GDP),0.21312
Belgium,BEL,Research and development expenditure (% of GDP),3.27235
Benin,BEN,Research and development expenditure (% of GDP),
Burkina Faso,BFA,Research and development expenditure (% of GDP),0.10477
Bangladesh,BGD,Research and development expenditure (% of GDP),
Bulgaria,BGR,Research and development expenditure (% of GDP),0.79224
Bahrain,BHR,Research and development expenditure (% of GDP),0.19327
"Bahamas, The",BHS,Research and development expenditure (% of GDP),
Bosnia and Herzegovina,BIH,Research and development expenditure (% of GDP),0.21437
Belarus,BLR,Research and development expenditure (% of GDP),0.5872
Belize,BLZ,Research and development expenditure (% of GDP),
Bermuda,BMU,Research and development expenditure (% of GDP),0.22546
Bolivia,BOL,Research and development expenditure (% of GDP),0.06308
Brazil,BRA,Research and development expenditure (% of GDP),1.1938
Barbados,BRB,Research and development expenditure (% of GDP),
Brunei Darussalam,BRN,Research and development expenditure (% of GDP),0.27764
Bhutan,BTN,Research and development expenditure (% of GDP),0.09979
Botswana,BWA,Research and development expenditure (% of GDP),0.561
Central African Republic,CAF,Research and development expenditure (% of GDP),
Canada,CAN,Research and development expenditure (% of GDP),1.7908
Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),1.34190356157401
Switzerland,CHE,Research and development expenditure (% of GDP),3.22178
Channel Islands,CHI,Research and development expenditure (% of GDP),
Chile,CHL,Research and development expenditure (% of GDP),0.39205
China,CHN,Research and development expenditure (% of GDP),2.57729
Cote d'Ivoire,CIV,Research and development expenditure (% of GDP),0.06975
Cameroon,CMR,Research and development expenditure (% of GDP),
"Congo, Dem. Rep.",COD,Research and development expenditure (% of GDP),0.40638
"Congo, Rep.",COG,Research and development expenditure (% of GDP),0.38339
Colombia,COL,Research and development expenditure (% of GDP),0.2894
Comoros,COM,Research and development expenditure (% of GDP),
Cabo Verde,CPV,Research and development expenditure (% of GDP),0.06622
Costa Rica,CRI,Research and development expenditure (% of GDP),0.33738
Caribbean small states,CSS,Research and development expenditure (% of GDP),
Cuba,CUB,Research and development expenditure (% of GDP),0.43839
Curacao,CUW,Research and development expenditure (% of GDP),
Cayman Islands,CYM,Research and development expenditure (% of GDP),
